x,y,t,intensity
2450,800,0,186
2451,800,0,186
2452,800,0,188
2453,800,0,189
2454,800,0,190
2455,800,0,191
2456,800,0,191
2457,800,0,192
2458,800,0,192
2459,800,0,194
2460,800,0,194
2461,800,0,194
2462,800,0,195
2463,800,0,193
2464,800,0,192
2465,800,0,191
2466,800,0,191
2467,800,0,191
2468,800,0,191
2469,800,0,189
2470,800,0,188
2471,800,0,186
2472,800,0,185
2473,800,0,186
2474,800,0,186
2475,800,0,184
2476,800,0,182
2477,800,0,182
2478,800,0,180
2479,800,0,178
2480,800,0,177
2481,800,0,176
2482,800,0,176
2483,800,0,173
2484,800,0,172
2485,800,0,171
2486,800,0,171
2487,800,0,170
2488,800,0,169
2489,800,0,169
2490,800,0,167
2491,800,0,166
2492,800,0,166
2493,800,0,165
2494,800,0,166
2495,800,0,166
2496,800,0,163
2497,800,0,162
2498,800,0,162
2499,800,0,162
2500,800,0,162
2501,800,0,162
2502,800,0,161
2503,800,0,159
2504,800,0,158
2505,800,0,157
2506,800,0,156
2507,800,0,157
2508,800,0,156
2509,800,0,154
2510,800,0,154
2511,800,0,151
2512,800,0,147
2513,800,0,143
2514,800,0,137
2515,800,0,132
2516,800,0,127
2517,800,0,123
2518,800,0,117
2519,800,0,109
2520,800,0,108
2521,800,0,120
2522,800,0,133
2523,800,0,126
2524,800,0,104
2525,800,0,85
2526,800,0,73
2527,800,0,67
2528,800,0,63
2529,800,0,62
2530,800,0,61
2531,800,0,57
2532,800,0,54
2533,800,0,51
2534,800,0,47
2535,800,0,43
2536,800,0,38
2537,800,0,37
2538,800,0,34
2539,800,0,33
2540,800,0,32
2541,800,0,32
2542,800,0,32
2543,800,0,30
2544,800,0,28
2545,800,0,29
2546,800,0,28
2547,800,0,27
2548,800,0,26
2549,800,0,25
2550,800,0,24
2551,800,0,23
2552,800,0,19
2553,800,0,18
2554,800,0,18
2555,800,0,19
2556,800,0,21
2557,800,0,20
2558,800,0,20
2559,800,0,20
2560,800,0,21
2561,800,0,20
2562,800,0,19
2563,800,0,19
